"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
43246,"LEPI","small_airport","Casas de los Pinos Airport",39.29819869995117,-2.3787200450897217,2370,"EU","ES","ES-CM","Cuenca","no","LEPI",,,,,
4025,"LEPP","medium_airport","Pamplona Airport",42.77000045776367,-1.6463299989700317,1504,"EU","ES","ES-NA","Pamplona","yes","LEPP","PNA",,,"https://en.wikipedia.org/wiki/Pamplona_Airport",
43290,"LEPR","small_airport","Palma Del Río Airport",37.715301513671875,-5.213560104370117,408,"EU","ES","ES-AN","Palma del Rio","no","LEPR",,,,,
43285,"LEPS","heliport","Mas Passamaner Heliport",41.1859016418457,1.1599199771881104,480,"EU","ES","ES-CT","Reus","no","LEPS",,,,,
43250,"LEPV","heliport","Costa Norte-Puerto de Viveiro-Celeiro Heliport",43.674800872802734,-7.5952301025390625,13,"EU","ES","ES-GA","Vivero","no","LEPV",,,,,
43257,"LEPY","heliport","El Portinyol Heliport",41.583499908447266,2.5607900619506836,200,"EU","ES","ES-CT","Barcelona","no","LEPY",,,,,
4026,"LEPZ","small_airport","Los Pozuelos De Calatrava Airport",38.9122009277,-4.19111013412,1850,"EU","ES","ES-CM","Los Pozuelos De Calatrava","no","LEPZ",,,,,
43293,"LERA","heliport","R.A.C.C. Heliport",41.38330078125,2.108330011367798,300,"EU","ES","ES-CT","Barcelona","no","LERA",,,,,
43294,"LERE","small_airport","Aeródromo Requena El Rebollar",39.474701,-1.03444,2340,"EU","ES","ES-V","Requena","no","LERE",,,"http://www.flyrequena.com/index.htm",,
43238,"LERG","heliport","Berga Heliport",42.10559844970703,1.8533300161361694,2300,"EU","ES","ES-CT","Berga","no","LERG",,,,,
4027,"LERI","medium_airport","Alcantarilla Air Base",37.951099,-1.23032,250,"EU","ES","ES-MU","Alcantarilla","no","LERI",,,,,
46583,"LERL","closed","Ciudad Real Central Airport",38.8563888889,-3.97,,"EU","ES","ES-CM","Ciudad Real","no","LERL","CQM",,"http://www.aeropuertocentralcr.com/","https://en.wikipedia.org/wiki/Ciudad_Real_Central_Airport",
4029,"LERM","small_airport","Robledillo De Mohernando Airport",40.865299224853516,-3.2477800846099854,3097,"EU","ES","ES-CM","Robledillo De Mohernando","no","LERM",,,,,
4030,"LERO","small_airport","Rozas Airport",43.11690139770508,-7.470280170440674,1444,"EU","ES","ES-GA","Lugo","no","LERO",,,,,
4031,"LERS","medium_airport","Reus Air Base",41.14739990234375,1.1671700477600098,233,"EU","ES","ES-CT","Reus","yes","LERS","REU",,,"https://en.wikipedia.org/wiki/Reus_Airport",
4032,"LERT","medium_airport","Rota Naval Station Airport",36.645198822,-6.34946012497,86,"EU","ES","ES-AN","Rota","no","LERT","ROZ",,,"https://en.wikipedia.org/wiki/Naval_Station_Rota_Spain",
43300,"LERV","heliport","Servei D'Evacuació Del Circuit De Catalunya Heliport",41.571998596191406,2.2620298862457275,406,"EU","ES","ES-CT",,"no","LERV",,,,,
333777,"LERY","heliport","King Juan Carlos Hospital Heliport",40.340433,-3.86951,2207,"EU","ES","ES-M","Móstoles","no","LERY",,,,,
4033,"LESA","medium_airport","Salamanca Airport",40.95209884643555,-5.501989841461182,2595,"EU","ES","ES-CL","Salamanca","yes","LESA","SLM",,,"https://en.wikipedia.org/wiki/Salamanca_Airport",
4034,"LESB","small_airport","Son Bonet Airport",39.598899841308594,2.70278000831604,157,"EU","ES","ES-PM","Mallorca Island","no","LESB",,,,"https://en.wikipedia.org/wiki/Son_Bonet_Aerodrome",
43296,"LESE","small_airport","San Enrique Airport",38.73080062866211,-4.3130598068237305,2263,"EU","ES","ES-CM","Almodóvar del Campo","no","LESE",,,,,
43298,"LESG","small_airport","Sangüesa Airport",42.56560134887695,-1.2847199440002441,1297,"EU","ES","ES-NA","Sangüesa","no","LESG",,,,,
4036,"LESL","small_airport","San Luis Airport",39.86220169067383,4.25832986831665,197,"EU","ES","ES-PM","Menorca Island","no","LESL",,,,"https://en.wikipedia.org/wiki/San_Luis_Aerodrome",
